"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"COG2",2.65337231892953e-10,-0.917900898612975,0.252,0.435,9.71134268728208e-06
"ITFG1",2.67065404933341e-10,-0.124880196838002,0.838,0.968,9.77459382056029e-06
"ARPC2",2.68239580429841e-10,-0.1497151150911,0.983,0.998,9.81756864373216e-06
"PSMC1",2.6832476174546e-10,-0.27756942093726,0.779,0.895,9.82068627988383e-06
"RCAN3",2.68634150937513e-10,-0.648954613778544,0.303,0.501,9.83200992431296e-06
"BBS1",2.70232900089021e-10,-0.227763397724786,0.255,0.457,9.89052414325818e-06
"CUX1",2.7211262995806e-10,0.571312209537571,0.992,0.996,9.959322256465e-06
"JMJD8",2.73946337651134e-10,-0.478502417147692,0.328,0.515,1.00264359580315e-05
"TMEM60",2.74213397061024e-10,-0.710419386520169,0.171,0.35,1.00362103324335e-05
"DNASE1L1",2.75897679491825e-10,-0.958570736964479,0.261,0.446,1.00978550694008e-05
"LINS1",2.81612623974045e-10,-1.18802133160103,0.095,0.254,1.030702203745e-05
"PTH2R",2.85011285215573e-10,-0.501264795729477,0.462,0.636,1.043141303889e-05
"CYB5R1",2.8682168022187e-10,-0.514263835178786,0.171,0.353,1.04976734961204e-05
"PRIM1",2.87157170172688e-10,-0.765261866983712,0.347,0.513,1.05099524283204e-05
"ZNF302",2.88531317501938e-10,-0.443787711953824,0.336,0.519,1.05602462205709e-05
"CYB561D2",2.89999725393387e-10,-0.50853921995058,0.297,0.482,1.0613989949398e-05
"CDC40",2.90358344325811e-10,-0.245434347944199,0.669,0.799,1.06271154023247e-05
"ST8SIA6-AS1",2.9270099428004e-10,-1.26012187383278,0.106,0.263,1.07128563906495e-05
"KIF18A",2.96972394474601e-10,-0.973552467703806,0.185,0.361,1.08691896377704e-05
"ADARB1",3.00328051865594e-10,-0.877057626852638,0.325,0.517,1.09920066982807e-05
"CSF2RA",3.00458581944436e-10,0.285811183711999,0.58,0.8,1.09967840991664e-05
"CDIP1",3.00974589706308e-10,-0.212511341369443,0.389,0.581,1.10156699832509e-05
"COA7",3.02234568868397e-10,-1.50465062555365,0.143,0.317,1.10617852205833e-05
"MFSD3",3.03331157189781e-10,-1.30367903521248,0.115,0.278,1.1101920353146e-05
"CHMP5",3.03529221558302e-10,-0.257465074232205,0.342,0.525,1.11091695090338e-05
"ZNF518A",3.03784852681755e-10,-0.753302720337953,0.44,0.622,1.11185256081522e-05
"MBTPS2",3.05423978761267e-10,-0.745660664218573,0.202,0.386,1.11785176226624e-05
"GSK3A",3.0676722849408e-10,-0.18569487160934,0.235,0.438,1.12276805628833e-05
"UCKL1",3.09153236475708e-10,0.543262192399706,0.401,0.628,1.13150084550109e-05
"SEPSECS",3.10570367014076e-10,-0.211323472110959,0.336,0.541,1.13668754327152e-05
"NUDT2",3.10712158013658e-10,-1.07793428481211,0.227,0.412,1.13720649832999e-05
"ASPM",3.14033912929028e-10,-1.84015892011425,0.14,0.303,1.14936412132024e-05
"PTBP1",3.16782841646101e-10,-0.26665755532809,0.857,0.958,1.15942520042473e-05
"ZNF701",3.16872441330173e-10,-0.28273784381688,0.314,0.499,1.15975313526843e-05
"EFCAB7",3.1847219227041e-10,-1.09661792126294,0.244,0.413,1.1656082237097e-05
"MIR222HG",3.19945743701906e-10,1.18454498679707,0.896,0.878,1.17100142194898e-05
"OSBPL9",3.24407522247523e-10,0.734376192541496,0.969,0.98,1.18733153142594e-05
"DPP6",3.27024368896979e-10,1.51362378858364,0.594,0.467,1.19690919016294e-05
"ZNF320",3.28528423911809e-10,-0.224026794924084,0.314,0.515,1.20241403151722e-05
"RINL",3.28825336625607e-10,-0.815218811624884,0.174,0.352,1.20350073204972e-05
"NORAD",3.29456490971323e-10,-0.147415429787385,0.739,0.897,1.20581075695504e-05
"MCEE",3.32295190537105e-10,-1.37237920844434,0.21,0.382,1.21620039736581e-05
"PRKCG",3.34800729063933e-10,3.61742304428964,0.216,0.091,1.225370668374e-05
"ELK1",3.36884815044013e-10,0.34521155008606,0.221,0.412,1.23299842306109e-05
"ZCCHC9",3.36907028979835e-10,-0.943682974346756,0.162,0.336,1.2330797260662e-05
"LIN9",3.41023619841661e-10,-1.25856186173822,0.218,0.394,1.24814644862048e-05
"ATE1",3.47646492181886e-10,-0.143668502967785,0.535,0.741,1.2723861613857e-05
"LARP7",3.48021149046653e-10,0.12468776632299,0.608,0.797,1.27375740551075e-05
"DPH5",3.51807437997667e-10,-0.352904630165228,0.272,0.465,1.28761522307146e-05
"ABHD3",3.58957573969992e-10,-0.170272791178178,0.72,0.884,1.31378472073017e-05
"TMEM199",3.60443559460294e-10,-0.753609004391678,0.168,0.341,1.31922342762468e-05
"SLC48A1",3.61858212297582e-10,-1.12560100877494,0.207,0.386,1.32440105700915e-05
"MTLN",3.62395468809515e-10,-1.3688045455322,0.154,0.322,1.32636741584282e-05
