,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
24,KCNAB2,467.799161,0.420302676,0.153902756,2.730962628,0.006314963,0.021935742
25,ICMT,9.374053115,4.1640379,0.592415241,7.028917582,2.08142E-12,8.29045E-11
26,ACOT7,32.60942256,1.459851223,0.360774515,4.046436656,5.20032E-05,0.000374448
27,TNFRSF25,20.13543061,1.448150291,0.3731621,3.880753943,0.000104133,0.00068311
28,THAP3,9.419151589,2.08607712,0.574003752,3.63425694,0.000278783,0.001595261
29,DNAJC11,84.07191616,1.307037713,0.30369498,4.303784387,1.67905E-05,0.000140834
30,PARK7,178.1412681,1.035672388,0.206878682,5.006182254,5.55202E-07,6.96086E-06
31,RERE,459.0037806,-0.723234221,0.170170726,-4.250050736,2.13722E-05,0.000172915
32,ENO1,1105.192572,0.93404204,0.100753607,9.270556872,1.85177E-20,2.01156E-18
33,MIR34AHG,13.62819759,5.082620144,0.688002997,7.3874971,1.49618E-13,7.21793E-12
34,PIK3CD-AS2,10.32034102,3.432625202,0.567216181,6.051705359,1.4332E-09,3.33284E-08
35,CTNNBIP1,93.64127191,-0.926528208,0.268693517,-3.448271544,0.000564187,0.002917468
36,DFFA,96.37265826,0.90200006,0.2509232,3.59472563,0.000324734,0.00182438
37,SRM,92.94029338,1.21305884,0.266332229,4.554682868,5.24647E-06,4.98805E-05
38,RP4-635E18.7,14.90007329,2.265764578,0.55498084,4.082599643,4.45347E-05,0.000327567
39,FBXO44,3.400318601,3.853186084,0.688047765,5.600172373,2.14139E-08,3.80164E-07
40,FBXO6,11.05909876,2.498658759,0.664253376,3.761604906,0.000168827,0.001040695
41,AGTRAP,2.256292433,3.246962044,0.915667777,3.546004485,0.00039112,0.002137056
42,RP5-934G17.7,3.246973756,-3.174779622,0.782545307,-4.056991454,4.97089E-05,0.000360831
43,MFN2,99.15612852,-1.071464819,0.276789415,-3.871046938,0.000108369,0.000707598
44,MIIP,17.78644359,0.817906401,0.327542616,2.497099186,0.012521393,0.038116268
45,TNFRSF1B,11.31667949,1.95040003,0.572933896,3.404232222,0.000663503,0.003332318
46,PRDM2,296.8777897,-0.983515499,0.161549795,-6.088002149,1.14328E-09,2.74494E-08
47,TMEM51,6.74213861,2.068279447,0.76715496,2.696038681,0.007016952,0.023956336
48,PLEKHM2,232.5557089,-1.226132283,0.19435964,-6.308574588,2.81617E-10,7.71541E-09
49,FBLIM1,0.625371873,-2.620943712,0.759948605,-3.448843377,0.000562993,0.002913236
50,UQCRHL,3.623137282,1.186323234,0.270907742,4.379067306,1.19188E-05,0.00010355
51,SPEN,349.9218694,-1.251526363,0.184443535,-6.785417367,1.15751E-11,4.05888E-10
52,ZBTB17,79.14722842,-0.969131747,0.323498186,-2.995787272,0.002737373,0.010889208
53,RP4-733M16.8,2.252741403,3.344411415,1.069294773,3.127679569,0.001761922,0.00759847
54,FBXO42,152.6878493,-1.556181965,0.272047852,-5.720250886,1.06367E-08,2.03737E-07
55,SPATA21,8.961069335,1.25469555,0.473207855,2.651468138,0.008014267,0.026715371
56,RCC2,296.5611221,-0.414389874,0.161816362,-2.560865096,0.010441189,0.032912628
57,IFFO2,86.65259804,-1.591613737,0.314668484,-5.058065285,4.23531E-07,5.45987E-06
58,UBR4,293.48987,-0.952192585,0.169933888,-5.603311951,2.10294E-08,3.74623E-07
59,AKR7A2,35.1961887,2.37513834,0.365069002,6.505998389,7.71791E-11,2.34618E-09
60,SLC66A1,6.907673691,3.283589427,0.710880134,4.619047951,3.85505E-06,3.82159E-05
61,MICOS10,138.7286734,1.010453224,0.240613792,4.199481733,2.67527E-05,0.000210312
62,OTUD3,15.90185363,1.303417632,0.520090919,2.506134189,0.012205929,0.037324192
63,ECE1,1.07183679,-1.825562335,0.739422937,-2.468901414,0.013552855,0.040705733
64,LDLRAD2,24.60612111,1.386075025,0.402818742,3.440939756,0.000579698,0.002987731
65,HSPG2,28.22188971,-1.015925983,0.364215687,-2.789352622,0.005281353,0.018912064
66,LINC00339,6.146804441,1.650168206,0.583402204,2.828525835,0.004676293,0.017160768
67,CDC42-IT1,15.22138149,1.045158587,0.41624285,2.510934628,0.012041199,0.036985878
68,KDM1A,325.7159341,-0.460122982,0.162316086,-2.83473433,0.004586381,0.016882664
69,LUZP1,452.9604606,-1.031366759,0.165990279,-6.213416642,5.18447E-10,1.3604E-08
70,ZNF436-AS1,1.940434284,3.126820004,0.845867039,3.696585703,0.000218519,0.001295598
71,RPL11,3088.880854,0.42345918,0.111204484,3.807932599,0.000140133,0.000885611
72,LYPLA2,31.30411477,1.545738394,0.346443079,4.461738413,8.12974E-06,7.34656E-05
73,GALE,7.671542884,4.011237064,0.75831468,5.289673497,1.22535E-07,1.79911E-06
74,FUCA1,4.445559548,3.380015111,0.668200266,5.058386363,4.22819E-07,5.45521E-06
75,CNR2,24.23984756,1.938610492,0.564946838,3.431491885,0.000600271,0.003075399
