"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AC079799.2",0.000175684771443028,3.54274456268863,0.222,0.01,1
"RP11-1081M5.1",0.000175684771443028,3.55443548351724,0.222,0.01,1
"PRKG1-AS1",0.000175684771443028,3.53656573340729,0.222,0.01,1
"RP11-344N10.5",0.000175684771443028,3.23278752828808,0.222,0.01,1
"DUSP8",0.000175684771443028,3.39897304849213,0.222,0.01,1
"TIGD3",0.000175684771443028,3.39452048444973,0.222,0.01,1
"GLB1L3",0.000175684771443028,3.535797693931,0.222,0.01,1
"RP11-163M18.1",0.000175684771443028,3.54341630784445,0.222,0.01,1
"TBC1D3",0.000175684771443028,3.52054445089568,0.222,0.01,1
"RP5-968J1.1",0.000175684771443028,3.46630513485767,0.222,0.01,1
"F13A1",0.000189857730658201,3.53568829035896,0.889,0.314,1
"C4orf46",0.000200413089448862,-1.56933502066914,0.222,0.829,1
"ANO5",0.000200989510776599,4.76656011999809,0.778,0.267,1
"SYAP1",0.000201863154213135,2.95267177412974,1,0.829,1
"CDYL2",0.000203671508953865,2.92121663094511,0.778,0.229,1
"KIAA0895",0.000205138875643967,2.91637746656613,0.444,0.067,1
"USP14",0.000216559491718961,1.90061602115223,1,0.981,1
"VNN1",0.000217375060603585,-1.70826333028008,0.111,0.771,1
"HSPA8",0.000225700459871823,-2.02056093150615,1,0.981,1
"STON2",0.000231387355759388,-2.75741449532253,0.556,0.895,1
"GSTK1",0.000235072236131486,-1.96264622675069,0.667,0.981,1
"CAPNS1",0.000239513681589484,-2.0759086827962,0.667,0.952,1
"PSMC1",0.000243524533683105,-2.09864906315031,0.667,0.924,1
"MEF2C",0.000244688148739493,-2.18958472298649,0.556,0.971,1
"GRSF1",0.000249561544483073,-1.88108875143362,0.667,0.952,1
"DTD1",0.000252012187512761,-2.06664940700748,0.333,0.924,1
"ETNK2",0.000252737471397809,4.61199376484979,0.444,0.076,1
"CCL5",0.000256768057343822,-2.31592759331269,0.111,0.771,1
"PIK3R5",0.000257069954489402,-2.59488498476327,0.222,0.829,1
"LINC01284",0.00026115235424396,3.47173858741933,0.444,0.067,1
"LYRM7",0.000264710639432109,-1.92153054022073,0.222,0.838,1
"RAB27B",0.00026575106190508,-2.03128185918085,0.556,0.981,1
"IFITM2",0.000265987817574208,-1.92769520258993,0.778,0.99,1
"TNFSF13",0.000267504671882415,-1.85995242320726,0.222,0.79,1
"UBA7",0.000267985445273416,-2.29933105994633,0.667,0.895,1
"LINC02506",0.000270190319083008,3.33699745866413,0.556,0.124,1
"DGKG",0.000276153387601463,1.96728263028358,1,0.914,1
"MT-ND4",0.000277102068789633,-1.21168463206002,1,1,1
"TICAM1",0.000282847118287436,3.0962318502556,0.889,0.41,1
"RAB5C",0.000290762439395231,-1.6953432452586,0.444,0.914,1
