Subset,Detail
MPP_Progenitors,ZNF484
MPP_Progenitors,DPM2
MPP_Progenitors,ZMYND19
MPP_Progenitors,ERCC6
MPP_Progenitors,DENND10
MPP_Progenitors,BNIP3
MPP_Progenitors,MS4A7
MPP_Progenitors,TUT1
MPP_Progenitors,RELA
MPP_Progenitors,LRFN4
MPP_Progenitors,ARAP1
MPP_Progenitors,AQP11
MPP_Progenitors,NINJ2
MPP_Progenitors,CLECL1
MPP_Progenitors,SLC48A1
MPP_Progenitors,FKBP11
MPP_Progenitors,RP11-983P16.2
MPP_Progenitors,WASHC3
MPP_Progenitors,SLC8B1
MPP_Progenitors,POLR1D
MPP_Progenitors,TM9SF1
MPP_Progenitors,RABGGTA
MPP_Progenitors,ACTR10
MPP_Progenitors,COQ6
MPP_Progenitors,ENTPD5
MPP_Progenitors,ANGEL1
MPP_Progenitors,APH1B
MPP_Progenitors,ULK3
MPP_Progenitors,FES
MPP_Progenitors,EME2
MPP_Progenitors,DNAJA3
MPP_Progenitors,IQCK
MPP_Progenitors,EARS2
MPP_Progenitors,APOBR
MPP_Progenitors,ATP6V0D1-DT
MPP_Progenitors,DHODH
MPP_Progenitors,EMC6
MPP_Progenitors,KIAA0100
MPP_Progenitors,MYO18A
MPP_Progenitors,CCL23
MPP_Progenitors,EZH1
MPP_Progenitors,ITGA2B
MPP_Progenitors,CBX1
MPP_Progenitors,NOL11
MPP_Progenitors,FASN
MPP_Progenitors,ZNF121
MPP_Progenitors,ZNF441
MPP_Progenitors,DCAF15
MPP_Progenitors,SAMD1
MPP_Progenitors,ZFP14
MPP_Progenitors,ZNF45
MPP_Progenitors,EML2
MPP_Progenitors,ZNF160
MPP_Progenitors,ZNF845
MPP_Progenitors,SOX12
MPP_Progenitors,ACSS1
MPP_Progenitors,C20orf197
MPP_Progenitors,HLCS
MPP_Progenitors,MX1
MPP_Progenitors,CSNK1E
MPP_Progenitors,CBY1
MPP_Progenitors,ZRSR2
MPP_Progenitors,ACOT9
MPP_Progenitors,TASL
MPP_Progenitors,RP5-1091N2.9
MPP_Progenitors,PRPS1
MPP_Progenitors,MAP7D3
MPP_Progenitors,HMGB3
MPP_Progenitors,DNASE1L1
GMP_LMPP_Progenitors,ATP5IF1
GMP_LMPP_Progenitors,MFSD2A
GMP_LMPP_Progenitors,RPS8
GMP_LMPP_Progenitors,UROD
GMP_LMPP_Progenitors,OSBPL9
GMP_LMPP_Progenitors,CPT2
GMP_LMPP_Progenitors,JUN
GMP_LMPP_Progenitors,LRRC7
GMP_LMPP_Progenitors,PSMD4
GMP_LMPP_Progenitors,MTX1
GMP_LMPP_Progenitors,FDPS
GMP_LMPP_Progenitors,DAP3
GMP_LMPP_Progenitors,CCT3
GMP_LMPP_Progenitors,DUSP23
GMP_LMPP_Progenitors,TP53BP2
GMP_LMPP_Progenitors,EGLN1
GMP_LMPP_Progenitors,ADI1
GMP_LMPP_Progenitors,CCT7
GMP_LMPP_Progenitors,CAPG
GMP_LMPP_Progenitors,VAMP8
GMP_LMPP_Progenitors,CYTOR
GMP_LMPP_Progenitors,EIF2AK3
GMP_LMPP_Progenitors,STEAP3
GMP_LMPP_Progenitors,AC018890.6
GMP_LMPP_Progenitors,ATP5MC3
GMP_LMPP_Progenitors,WDR48
GMP_LMPP_Progenitors,CTNNB1
GMP_LMPP_Progenitors,TRAK1
GMP_LMPP_Progenitors,MIX23
GMP_LMPP_Progenitors,STAG1
GMP_LMPP_Progenitors,AP2M1
GMP_LMPP_Progenitors,LRPAP1
GMP_LMPP_Progenitors,GRSF1
GMP_LMPP_Progenitors,ARHGAP10
GMP_LMPP_Progenitors,MEF2C
GMP_LMPP_Progenitors,MEF2C-AS1
GMP_LMPP_Progenitors,LYSMD3
GMP_LMPP_Progenitors,LINC02147
GMP_LMPP_Progenitors,FBN2
GMP_LMPP_Progenitors,SRA1
GMP_LMPP_Progenitors,CD74
GMP_LMPP_Progenitors,ANXA6
GMP_LMPP_Progenitors,SIMC1
GMP_LMPP_Progenitors,PRELID1
GMP_LMPP_Progenitors,PRPF4B
GMP_LMPP_Progenitors,H2BC8
GMP_LMPP_Progenitors,GNL1
GMP_LMPP_Progenitors,PSMB8
GMP_LMPP_Progenitors,ZFAND3
GMP_LMPP_Progenitors,TOMM6
GMP_LMPP_Progenitors,TTK
GMP_LMPP_Progenitors,RP11-515I12.1
GMP_LMPP_Progenitors,C7orf50
GMP_LMPP_Progenitors,NUDT1
GMP_LMPP_Progenitors,SAMD9L
GMP_LMPP_Progenitors,ATP5MF
GMP_LMPP_Progenitors,SRPK2
GMP_LMPP_Progenitors,CAPZA2
GMP_LMPP_Progenitors,NDUFB2
GMP_LMPP_Progenitors,GSTK1
GMP_LMPP_Progenitors,KMT2C
GMP_LMPP_Progenitors,RP11-624C23.1
GMP_LMPP_Progenitors,ARFGEF1
GMP_LMPP_Progenitors,CRISPLD1
GMP_LMPP_Progenitors,ZBTB10
GMP_LMPP_Progenitors,RIDA
GMP_LMPP_Progenitors,DENND3
GMP_LMPP_Progenitors,TLN1
GMP_LMPP_Progenitors,NINJ1
GMP_LMPP_Progenitors,MRPL50
GMP_LMPP_Progenitors,ALAD
GMP_LMPP_Progenitors,LRRC8A
GMP_LMPP_Progenitors,GTF3C5
GMP_LMPP_Progenitors,UAP1L1
GMP_LMPP_Progenitors,PDSS1
GMP_LMPP_Progenitors,ABI1
GMP_LMPP_Progenitors,ZNF32
GMP_LMPP_Progenitors,SIRT1
GMP_LMPP_Progenitors,CHCHD1
GMP_LMPP_Progenitors,VDAC2
GMP_LMPP_Progenitors,RRP12
GMP_LMPP_Progenitors,NPM3
GMP_LMPP_Progenitors,ZDHHC6
GMP_LMPP_Progenitors,SBF2-AS1
GMP_LMPP_Progenitors,CD44
GMP_LMPP_Progenitors,DDB2
GMP_LMPP_Progenitors,CELF1
GMP_LMPP_Progenitors,COX8A
GMP_LMPP_Progenitors,RPS6KA4
GMP_LMPP_Progenitors,MEN1
GMP_LMPP_Progenitors,NUMA1
GMP_LMPP_Progenitors,LAMTOR1
GMP_LMPP_Progenitors,DCUN1D5
GMP_LMPP_Progenitors,UBASH3B
GMP_LMPP_Progenitors,HSPA8
GMP_LMPP_Progenitors,FKBP4
GMP_LMPP_Progenitors,MRPL51
GMP_LMPP_Progenitors,SLC2A3
GMP_LMPP_Progenitors,KLRG1
GMP_LMPP_Progenitors,COX14
GMP_LMPP_Progenitors,TESPA1
GMP_LMPP_Progenitors,PA2G4
GMP_LMPP_Progenitors,MYL6B
GMP_LMPP_Progenitors,MYL6
