"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"INTS7",1.11966478291663e-08,-0.764992207527983,0.265,0.684,0.000409797310547488
"RAN",1.17391892094231e-08,-1.95021668687625,0.841,0.947,0.000429654325064885
"APEX1",1.1850858176896e-08,-1.37433628712806,0.602,0.868,0.000433741409274394
"EMG1",1.20132459389647e-08,-2.95838607133953,0.292,0.645,0.000439684801366108
"LDHA",1.20920335733246e-08,-1.37434665704704,0.796,0.921,0.000442568428783681
"UST",1.27587599782083e-08,-2.08912852413355,0.257,0.605,0.000466970615202425
"SPIRE1",1.28913834819448e-08,-0.516198650648113,0.398,0.803,0.00047182463543918
"MFHAS1",1.30101427716042e-08,-1.89294737675693,0.195,0.579,0.000476171225440714
"MCL1",1.30451796058541e-08,2.03772009356187,0.973,0.974,0.000477453573574262
"GTF3C5",1.33642928069581e-08,-2.2287085970592,0.46,0.75,0.000489133116734667
"LDLRAD2",1.38934104778513e-08,-1.17557289223066,0.097,0.461,0.000508498823489357
"ARMH1",1.42741196065681e-08,1.74416408372921,0.973,0.868,0.000522432777600392
"LINC01208",1.44460583969112e-08,1.69173902591347,0.779,0.329,0.000528725737326949
"LPCAT2",1.58632632140616e-08,-1.20866866972689,0.699,0.908,0.000580595433634653
"LAMTOR2",1.59978393175042e-08,-1.91421706785017,0.204,0.592,0.000585520919020653
"CORO1A",1.61795788094461e-08,-1.1203411706285,0.814,0.947,0.000592172584425726
"IMP3",1.64506604926318e-08,-1.76473740041547,0.372,0.776,0.000602094174030324
"PSMA5",1.70132905934234e-08,-0.628044538343463,0.504,0.829,0.000622686435719295
"PRELID2",1.74354780481337e-08,-1.92746461779998,0.381,0.763,0.000638138496561692
"SERBP1",1.78411393238741e-08,-1.18865531342173,0.814,0.934,0.000652985699253794
"CCT3",1.81183972655672e-08,-1.91055469340482,0.451,0.776,0.000663133339919761
"NUSAP1",1.81541378437221e-08,-1.4600334419309,0.327,0.711,0.00066444144508023
"AHSA1",1.97200160758854e-08,-2.68609781898739,0.301,0.658,0.000721752588377406
"B4GALT2",2.00242775005813e-08,-1.74339484656165,0.088,0.447,0.000732888556521275
"BIN1",2.01730052699185e-08,-0.606967707808525,0.124,0.474,0.000738331992879015
"NMT1",2.03056789569861e-08,-0.946397892470444,0.646,0.921,0.000743187849825693
"GSTK1",2.03187781749167e-08,-1.63983135587156,0.761,0.855,0.00074366728120195
"MICAL1",2.05015442179965e-08,-2.02134776328157,0.319,0.711,0.000750356518378673
"PCGF5",2.09582413406928e-08,2.81572095392765,0.735,0.368,0.000767071633069355
"NDUFV2",2.1774784035547e-08,-1.29228582110896,0.752,0.934,0.000796957095701019
"OAF",2.26404302187523e-08,-1.94749640858832,0.204,0.592,0.000828639746006334
"WIPF1",2.37429776593769e-08,-1.32872701418687,0.575,0.868,0.000868992982333195
"ZBTB8OS",2.40555747370917e-08,-2.32815458094386,0.345,0.697,0.000880434035377557
"AKAP7",2.44522424251834e-08,-2.10579074248751,0.265,0.632,0.000894952072761712
"HDAC1",2.57018576463235e-08,-1.60591403856175,0.425,0.763,0.00094068798985544
"GUCY1A1",2.6279790353805e-08,-1.80411945608434,0.389,0.724,0.000961840326949261
"SLC43A3",2.77366599494565e-08,-2.32256184147114,0.212,0.605,0.00101516175415011
"RHBDD3",2.8427755806527e-08,-1.51010174721546,0.168,0.553,0.00104045586251889
"PKD2",2.94770048951649e-08,-1.86617762451196,0.319,0.671,0.00107885837916304
"PRKACB",2.96433748280581e-08,-0.981721108611243,0.708,0.947,0.00108494751870693
"SLC1A5",2.99976909966318e-08,-0.985257392141208,0.177,0.592,0.00109791549047672
"BANF1",3.03737562763628e-08,-1.58153394094701,0.425,0.737,0.00111167947971488
"MIR4435-2HG",3.07895694814807e-08,-0.206567685413362,0.681,0.921,0.00112689824302219
"RAB31",3.09273318245429e-08,-3.56507469827182,0.15,0.487,0.00113194034477827
"MCM3",3.2300953412133e-08,-1.57603144534378,0.381,0.724,0.00118221489488407
"FKBP4",3.28348358572401e-08,-1.62113108988307,0.372,0.737,0.00120175499237499
"TOM1L1",3.38729765180578e-08,-4.65081546723812,0.08,0.395,0.00123975094056091
"ARL6IP6",3.40256092501623e-08,-0.942483333438541,0.301,0.671,0.00124533729855594
"HSPA1B",3.74921900817237e-08,-1.22835699470543,0.124,0.5,0.00137221415699109
"ACADVL",3.84501419668427e-08,-0.47119954861943,0.823,0.961,0.00140727519598644
"WASHC3",3.91254661052426e-08,-1.44892633412992,0.195,0.579,0.00143199205945188
"BTG1",3.91396530691891e-08,1.82037745265135,0.788,0.526,0.00143251130233232
"APEH",3.92351767284749e-08,-1.31803359130688,0.327,0.711,0.00143600746826218
"STING1",3.93882148120705e-08,-0.85217423981704,0.619,0.855,0.00144160866212178
"MRPL34",3.96004711938167e-08,-1.16392199694497,0.204,0.592,0.00144937724569369
"NCL",3.98457319730566e-08,-1.18838560667966,0.885,0.974,0.00145835379021387
"RGS10",4.09275263094054e-08,-1.0925413214151,0.301,0.711,0.00149794746292424
"PIK3R6",4.19068124132722e-08,-2.21170754622453,0.248,0.605,0.00153378933432576
"PAK1",4.31549894877871e-08,-0.637416780776203,0.23,0.618,0.00157947261525301
"AP2M1",4.37249226143088e-08,-1.45376576531232,0.558,0.789,0.0016003321676837
"NFKBIA",4.40246978853491e-08,1.39223755152944,1,1,0.00161130394260378
"HSD17B10",4.53715739072186e-08,-2.50788259989863,0.274,0.605,0.0016605996050042
"FGD4",4.62761233635549e-08,-4.28668307079068,0.106,0.434,0.00169370611510611
"NPM3",4.72347238883855e-08,-2.46834248153169,0.212,0.539,0.00172879089431491
"ENTPD6",4.74251326014379e-08,-1.07275286287793,0.292,0.697,0.00173575985321263
"SEC11A",4.78642280522184e-08,-0.99932738092351,0.646,0.908,0.00175183074671119
