,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
69,ST3GAL3,385.0507598,-1.358740429,0.471623614,-2.880984727,0.003964349,0.026834698
70,IPO13,5.642637714,4.488916421,1.69047462,2.655417815,0.007921023,0.042952053
71,ATP6V0B,124.0811929,1.973839232,0.386842218,5.102440061,3.35302E-07,2.79871E-05
72,B4GALT2,17.08456011,3.96628378,1.134346689,3.496535776,0.000471341,0.006075474
73,CCDC24,5.921029483,4.555126718,1.732416078,2.629349136,0.008554848,0.045339911
74,RNF220,1763.545402,-1.02815678,0.27735024,-3.707070088,0.000209671,0.003329137
75,ARMH1,152.2017523,-1.478917471,0.564752042,-2.618702298,0.008826494,0.046400659
76,RPS8,3933.024393,0.887197217,0.322292639,2.7527691,0.005909356,0.035149432
77,UROD,54.21005272,1.877660578,0.720792489,2.60499465,0.009187569,0.047792376
78,ZSWIM5,7.203592397,3.945797119,1.399717893,2.818994554,0.004817434,0.030700053
79,POMGNT1,17.8055689,5.103864701,1.052764607,4.848058784,1.24675E-06,7.92922E-05
80,ATPAF1,26.76097411,4.061097316,0.950298358,4.273497142,1.92431E-05,0.000608575
81,CMPK1,38.0787564,1.564118585,0.572761753,2.730836296,0.006317384,0.036525336
82,BEND5,8.313795737,5.043817257,1.593352064,3.165538471,0.001547962,0.014009116
83,OSBPL9,300.5873676,-1.416959043,0.408088046,-3.472189538,0.000516232,0.006418241
84,CPT2,8.426483818,5.054728616,1.666043937,3.033970776,0.002413578,0.018977678
85,CZIB,32.0142961,2.762654884,0.913112344,3.025536673,0.002481923,0.019267779
86,LRP8,129.4503656,2.001378657,0.651965075,3.069763604,0.002142283,0.017401348
87,NDC1,111.3936191,2.461611112,0.741501179,3.319766958,0.000900926,0.009501877
88,TMEM59,175.4819607,1.232643542,0.402492697,3.062523996,0.002194789,0.017728318
89,MRPL37,56.94893567,2.314354341,0.595916233,3.883690714,0.000102883,0.001942688
90,SSBP3,99.87976353,-1.684635997,0.533752802,-3.156210126,0.001598337,0.014375095
91,USP24,238.5113046,-1.752328805,0.459270463,-3.815461573,0.000135929,0.002435563
92,JUN,115.0589593,-3.635103553,0.735818768,-4.940215867,7.80361E-07,5.50203E-05
93,TM2D1,37.19530884,3.47051457,0.845953279,4.102489649,4.08728E-05,0.00101641
94,JAK1,163.2297415,-1.140018213,0.435341291,-2.618676971,0.008827149,0.046400659
95,AK4,43.99156379,-2.424780766,0.853303432,-2.841639534,0.004488221,0.029235315
96,SLC35D1,32.21098534,4.889212943,1.025516363,4.767562098,1.86469E-06,0.000111833
97,LRRC7,13.94323985,4.011060302,1.142448427,3.510933368,0.000446536,0.0058337
98,RP11-386I14.4,23.06844877,-2.306680464,0.497924366,-4.632592055,3.61116E-06,0.000178629
99,RPF1,60.45398598,1.786909128,0.622861282,2.868871737,0.004119388,0.02751409
100,BCL10,15.02033906,2.772885883,0.9451975,2.933657658,0.003349935,0.023739108
101,RBMXL1,38.92804511,2.734888167,0.877989715,3.114943287,0.001839803,0.015652481
102,GBP3,9.926682806,3.766288279,1.288438878,2.92314082,0.003465198,0.024294163
103,ZNF644,320.4120098,-0.957848718,0.327877121,-2.921364915,0.003485014,0.024403529
104,DR1,53.34767612,1.790175511,0.616349302,2.904482095,0.003678612,0.025330124
105,BCAR3,2.389539747,-4.148106389,1.256249374,-3.301976882,0.00096006,0.009886737
106,DPYD-AS1,8.039093925,4.503693417,1.435494939,3.137380213,0.001704649,0.014914069
107,FRRS1,14.66143509,5.841205123,1.597786015,3.655811898,0.000256369,0.003825512
108,MFSD14A,132.9336934,-1.509348725,0.555167775,-2.718725387,0.006553399,0.037493286
109,VAV3,1173.623891,0.853781193,0.310119502,2.7530716,0.005903898,0.035147823
110,HENMT1,12.83269688,4.048414039,1.149568724,3.521680745,0.00042882,0.00567917
111,TMEM167B,24.68348811,4.113092332,0.98012413,4.196501449,2.7107E-05,0.000772816
112,SORT1,35.01797125,6.849822397,0.908769707,7.537467792,4.79185E-14,6.16285E-11
113,INKA2,13.20880719,5.290127891,1.550989014,3.41080939,0.000647704,0.007527278
114,SLC16A1,73.53494236,3.517451509,0.780199221,4.508401721,6.53178E-06,0.000278814
115,RSBN1,98.01525843,2.003040817,0.681712298,2.9382495,0.003300713,0.023481641
116,HIPK1,181.7750257,-1.757129441,0.528186549,-3.326721293,0.000878742,0.009357351
117,TRIM33,217.5511967,-1.320928067,0.472077324,-2.798118019,0.005140133,0.03221422
118,TSPAN2,37.66696845,3.012863611,0.960619029,3.136377191,0.001710491,0.014920067
119,VANGL1,26.32301452,3.289795362,1.222783355,2.690415558,0.007136309,0.039827763
120,WDR3,15.58389701,5.945950409,1.452175884,4.094511192,4.2306E-05,0.001035289
121,WARS2-AS1,47.77975184,2.765348067,0.769612486,3.593169442,0.00032668,0.004600147
122,CH17-3B23.3,10.52031445,-5.199820177,1.598408421,-3.253123613,0.001141438,0.011225275
123,RP11-289H16.1,5.485697403,4.504843512,1.256863336,3.584195182,0.000338119,0.00473224
124,PEX11B,15.30206056,4.373928694,1.354098318,3.230141147,0.001237291,0.011889004
125,POLR3GL,36.52170112,2.664053391,0.853030876,3.123044508,0.001789907,0.015380973
126,NBPF12,48.08723365,1.847343459,0.688547419,2.682957494,0.007297426,0.040589962
127,RP11-337C18.10,16.46502662,5.482681947,1.404054177,3.904893441,9.42669E-05,0.001824648
128,ACP6,11.35536862,4.349710536,1.424500104,3.053499626,0.00226189,0.018168895
129,NBPF14,42.96183622,-2.25699103,0.759912401,-2.970067376,0.002977344,0.021867234
130,PDE4DIP,14.04727555,-3.062227695,1.12738586,-2.716219712,0.006603208,0.037632759
131,H2BC21,11.75222226,-3.447702048,0.991250044,-3.478135581,0.000504914,0.006331945
132,VPS45,27.96526673,2.912360035,1.028828382,2.830753977,0.004643843,0.029895705
133,MCL1,257.1483213,-2.069286279,0.476385501,-4.343722205,1.40089E-05,0.000489072
134,ENSA,220.0287245,-1.108986647,0.380817613,-2.912120158,0.003589845,0.024896619
135,ARNT,48.18258437,-2.354081413,0.805023241,-2.924240313,0.003452981,0.024252579
136,CDC42SE1,39.27032439,-1.965638718,0.714445862,-2.751277352,0.005936336,0.035237481
137,MLLT11,16.15619866,5.844912169,1.152513048,5.071449887,3.94796E-07,3.21815E-05
138,SCNM1,44.6632741,2.347062651,0.752509587,3.118980397,0.00181478,0.015548544
139,VPS72,12.071802,2.519499066,0.91138362,2.764477011,0.005701412,0.034282519
140,PSMD4,71.49742618,2.958821138,0.661457096,4.473186784,7.70624E-06,0.000315193
141,S100A11,6.840169745,2.643413846,0.9716646,2.720500312,0.006518321,0.037332789
142,S100A6,201.1702146,2.301634103,0.493148842,4.667219927,3.05302E-06,0.00015847
143,S100A4,621.8235486,1.70167613,0.451405853,3.769725448,0.000163427,0.002798329
144,SLC27A3,14.56572705,5.427293058,1.46716817,3.699162216,0.000216312,0.003392703
145,JTB,111.051454,1.435209408,0.481711536,2.97939597,0.002888173,0.021402433
146,HAX1,35.86242458,3.460312191,0.928535741,3.726633277,0.000194054,0.003128385
147,UBE2Q1,39.4684687,3.411114097,0.801017624,4.258475715,2.05826E-05,0.000642165
148,SHC1,16.14338662,5.09785924,1.203487439,4.235905649,2.27632E-05,0.000682214
