"Cell","mapping_error_score","mapping_error_QC","UMAP1_projected","UMAP2_projected","predicted_CellType","predicted_CellType_prob","predicted_Pseudotime"
"S2PL01-03P-516-REL",8.86357061774658,"Pass",3.43843507766724,4.22448348999023,"MPP-MkEry",0.9,0.9146217
"S2PL01-05B-516-REL",7.41755001811491,"Pass",3.2860689163208,3.35286593437195,"MPP-MkEry",0.966666666666667,0.047958225
"S2PL01-05D-516-REL",7.11101278779795,"Pass",4.97455883026123,6.6685996055603,"BFU-E",0.8,5.010852
"S2PL01-05F-516-REL",8.74463219026476,"Pass",4.61997222900391,5.08435964584351,"MEP",1,2.4989125
"S2PL01-05H-516-REL",7.51473696196747,"Pass",4.29671287536621,7.15925693511963,"BFU-E",0.9,6.38717
"S2PL01-05J-516-REL",7.59379270551673,"Pass",3.65409350395203,3.21570444107056,"MPP-MkEry",0.733333333333333,0.01711756
"S2PL01-05L-516-REL",8.02452172649902,"Pass",4.57069158554077,5.42642116546631,"MEP",1,3.187708
"S2PL01-05N-516-REL",7.06669393849292,"Pass",4.71714353561401,5.63852548599243,"MEP",1,3.445772
"S2PL01-05P-516-REL",11.3682296319198,"Pass",7.34643936157227,0.950510382652283,"Cycling Progenitor",1,5.21634
"S2PL01-07B-516-REL",5.86054140831676,"Pass",4.45623016357422,2.10170006752014,"Cycling Progenitor",0.4,2.08779065672932
"S2PL01-07D-516-REL",8.73992060237638,"Pass",3.81779861450195,1.71998953819275,"LMPP",0.9,0.3463511
"S2PL01-07F-516-REL",7.48248979300238,"Pass",2.83407163619995,2.47623682022095,"MPP-MyLy",0.4,0.105992
"S2PL01-07H-516-REL",7.93886161929329,"Pass",2.0893771648407,2.49527668952942,"HSC",0.566666666666667,0.1547504
"S2PL01-07J-516-REL",9.17566452592067,"Pass",2.10211610794067,3.14039587974548,"HSC",0.933333333333333,3.857151e-07
"S2PL01-07L-516-REL",7.12965979514736,"Pass",3.50630688667297,2.47597813606262,"MPP-MkEry",0.333333333333333,0.0374623246919632
"S2PL01-07N-516-REL",9.88331339429787,"Pass",2.18281364440918,2.79821372032166,"HSC",0.6,0.0048631125
"S2PL01-07P-516-REL",6.978775337058,"Pass",1.72851824760437,2.73188543319702,"HSC",0.866666666666667,2.584607e-07
"S2PL01-09B-516-REL",8.58529794295271,"Pass",2.22308254241943,2.85664463043213,"HSC",0.833333333333333,0.16352525
"S2PL01-09D-516-REL",8.85663172426624,"Pass",2.42777967453003,2.58953452110291,"HSC",0.566666666666667,0.1547504
"S2PL01-09F-516-REL",10.3022234483301,"Pass",2.0217981338501,3.0258219242096,"HSC",0.9,2.556943e-07
"S2PL01-09H-516-REL",8.92776616105044,"Pass",2.48710823059082,2.22673296928406,"MPP-MyLy",0.9,0.06654204
"S2PL01-09J-516-REL",8.30054753553387,"Pass",2.0934476852417,3.23393440246582,"HSC",0.733333333333333,3.102319e-07
"S2PL01-09L-516-REL",6.7080710528494,"Pass",4.32331705093384,1.74257981777191,"LMPP",0.333333333333333,2.08779064763972
"S2PL01-09N-516-REL",9.7868952592855,"Pass",2.10567307472229,2.55536222457886,"HSC",0.666666666666667,0.1547505
"S2PL01-09P-516-REL",9.27274084892735,"Pass",2.6218056678772,2.75180888175964,"MPP-MyLy",0.5,0.0584569
"S2PL01-11B-516-REL",10.5153673204187,"Pass",1.64142560958862,3.73133230209351,"HSC",1,0.001750651
"S2PL01-11D-516-REL",9.86406973417232,"Pass",2.4992151260376,2.94531416893005,"HSC",0.666666666666667,0.01454225
"S2PL01-11F-516-REL",12.5865772790728,"Pass",2.5439453125,2.51108360290527,"HSC",0.533333333333333,0.02309156
"S2PL01-11H-516-REL",7.93897377313772,"Pass",2.50225520133972,2.72533869743347,"HSC",0.6,0.018165275
"S2PL01-11J-516-REL",7.86008979299019,"Pass",1.75112926959991,3.06067800521851,"HSC",1,0.033893935
"S2PL01-11L-516-REL",11.0926434697286,"Pass",2.18156933784485,3.46693968772888,"HSC",1,0.033396725
"S2PL01-11N-516-REL",10.3227338690879,"Pass",1.4365690946579,3.65762400627136,"HSC",1,4.4855185e-07
"S2PL01-13B-516-REL",8.634975805069,"Pass",2.26064372062683,3.27783679962158,"HSC",0.9,0.10353215
"S2PL01-13D-516-REL",8.79570891497656,"Pass",1.72175478935242,3.01401948928833,"HSC",0.966666666666667,0.03881172
"S2PL01-13F-516-REL",7.75305645157322,"Pass",2.50071549415588,3.1186146736145,"HSC",0.633333333333333,0.0007054005
"S2PL01-13H-516-REL",9.41227637154583,"Pass",1.82549154758453,2.87488508224487,"HSC",0.9,2.276351e-07
"S2PL01-13J-516-REL",9.79292494470838,"Pass",1.98908162117004,2.90751218795776,"HSC",0.966666666666667,0.004862707
"S2PL01-13L-516-REL",9.81205440989555,"Pass",2.67700219154358,3.66330480575562,"MPP-MkEry",0.4,0.008245276
"S2PL01-13N-516-REL",9.16679864667461,"Pass",3.16307306289673,2.6942572593689,"MPP-MyLy",0.466666666666667,0.051691265
"S2PL01-13P-516-REL",11.5157123688437,"Pass",2.37303328514099,2.689457654953,"HSC",0.666666666666667,0.10524595
"S2PL01-15B-516-REL",7.65269401555683,"Pass",3.85285973548889,4.01350545883179,"MPP-MkEry",0.533333333333333,1.022456
"S2PL01-15D-516-REL",8.95245791460404,"Pass",3.3925724029541,2.32043719291687,"LMPP",0.433333333333333,0.068234135
"S2PL01-15F-516-REL",9.77561121676486,"Pass",2.068598985672,3.10219097137451,"HSC",1,1.754687e-07
"S2PL01-15H-516-REL",6.88160339414285,"Pass",1.93372523784637,2.4752094745636,"HSC",0.566666666666667,0.02734779
